2026-03-12 22:19:02 | alarm | GYROSCOPE | 52.400978,30.923452
2026-03-12 22:23:21 | alarm | MICROPHONE | no_coords
2026-03-12 22:25:53 | alarm | MICROPHONE | 52.400917,30.923058
2026-03-12 22:28:19 | alarm | MICROPHONE | 52.401138,30.923058
2026-03-12 22:32:49 | alarm | unknown | no_coords
2026-03-12 22:37:48 | alarm | MICROPHONE | 52.401257,30.922897
2026-03-12 22:39:52 | alarm | GYRO MIC | no_coords
2026-03-12 22:41:55 | alarm | MICROPHONE | 52.401382,30.922863
2026-03-12 22:43:47 | alarm | MICROPHONE | 52.401157,30.923105
2026-03-12 22:45:24 | alarm | unknown | no_coords
2026-03-12 22:46:04 | alarm | unknown | no_coords
2026-03-12 22:46:46 | alarm | unknown | no_coords
2026-03-12 22:47:57 | alarm | GYROSCOPE | 52.401165,30.923201
2026-03-12 22:48:52 | alarm | MICROPHONE | 52.401165,30.923201
2026-03-12 22:49:45 | alarm | GYRO MIC | no_coords
2026-03-12 23:01:52 | alarm | GYROMIC | 52.401203,30.923119
2026-03-12 23:04:55 | alarm | MIC | 52.401115,30.922995
2026-03-12 23:06:24 | alarm | GYROMIC | 52.401192,30.922987
2026-03-12 23:08:23 | alarm | MIC | 52.401119,30.922863
2026-03-12 23:13:02 | alarm | MIC | 52.401497,30.923000
2026-03-12 23:16:41 | alarm | GYROMIC | 52.401100,30.922617
2026-03-12 23:26:22 | alarm | GYRO | 52.401272,30.922516
2026-03-12 23:27:30 | alarm | MIC | 52.401272,30.922516
2026-03-12 23:28:18 | alarm | GYROMIC | 52.401272,30.922516
